kategori,alt_kategori,urun_adi,fiyat,birim,miktar
Atıştırmalık,Kuruyemiş,Master Nut NR3 Karışık Kuruyemiş ,72.5,1,
Atıştırmalık,Kuruyemiş,Master Nut NR4 Karışık Kuruyemiş,93.99,1,
Atıştırmalık,Kuruyemiş,Master Farm Hurma ,104.99,1,
Atıştırmalık,Kuruyemiş,Peyman Klasik Karışık Kuruyemiş,96.99,1,
Atıştırmalık,Kuruyemiş,Karışık Kuruyemiş & Red Bull İkilisi,136.5,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Ortaya Karışık Asorti,155.5,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Çiğ Karışık Klasik,122.5,1,
Atıştırmalık,Kuruyemiş,Peyman Soslu Karışık Kuruyemiş,83.5,1,
Atıştırmalık,Kuruyemiş,Otto Nuts Vegan Çiğ Karışık Kuruyemiş,33.5,1,
Atıştırmalık,Kuruyemiş,List Nuts Tuzlu Kavrulmuş Karışık Kuruyemiş,83.5,1,
Atıştırmalık,Kuruyemiş,Malatya Pazarı MP Party Mix Karışık Kuruyemiş,113.5,1,
Atıştırmalık,Kuruyemiş,Tadım Kavrulmuş Antep Fıstığı,105.5,1,
Atıştırmalık,Kuruyemiş,Master Nut Kabuklu Antep Fıstığı,147.99,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Kavrulmuş Antep Fıstığı,188.99,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Kavrulmuş Siirt Fıstığı,187.99,1,
Atıştırmalık,Kuruyemiş,List Nuts Tuzlu Kavrulmuş Antep Fıstığı,144.5,1,
Atıştırmalık,Kuruyemiş,Tadım Ceviz İçi,153.5,1,
Atıştırmalık,Kuruyemiş,Master Farm İç Ceviz,135.5,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Çiğ Ceviz İçi,127.99,1,
Atıştırmalık,Kuruyemiş,Gürsoy Kavrulmuş Fındık İçi,221.99,1,
Atıştırmalık,Kuruyemiş,Tadım Kavrulmuş Fındık İçi,77.99,1,
Atıştırmalık,Kuruyemiş,Tadım Kavrulmuş Tuzlu Fındık,103.5,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Kavrulmuş Fındık,149.99,1,
Atıştırmalık,Kuruyemiş,Master Farm Aronya,138.99,1,
Atıştırmalık,Kuruyemiş,List Nuts Kavrulmuş Beyaz Leblebi ,19.99,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Tuzlu Kavrulmuş Fındık,100.5,1,
Atıştırmalık,Kuruyemiş,List Nuts Kavrulmuş Fındık İçi,110.99,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Çiğ Fındık,110.99,1,
Atıştırmalık,Kuruyemiş,Otto Nuts Vegan Çiğ Fındık,29.99,1,
Atıştırmalık,Kuruyemiş,List Nuts Kızartılmış Karamelize Soğan Kaju,77.99,1,
Atıştırmalık,Kuruyemiş,Master Nut Kavrulmuş Tuzlu Kaju,122.5,1,
Atıştırmalık,Kuruyemiş,Tadım İşlenmiş Kaju Fıstığı,66.99,1,
Atıştırmalık,Kuruyemiş,Tadım Kavrulmuş Tuzlu Zarlı Kaju,166.5,1,
Atıştırmalık,Kuruyemiş,List Nuts Kabuklu Kaju,123.5,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Kavrulmuş Kaju Fıstığı,127.6,1,
Atıştırmalık,Kuruyemiş,Master Farm Çiğ Kaju Fıstığı ,122.5,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Çiğ Kaju Fıstığı,129.99,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Çiğ Badem,129.99,1,
Atıştırmalık,Kuruyemiş,Otto Nuts Vegan Çiğ Badem,38.99,1,
Atıştırmalık,Kuruyemiş,Tadım Kavrulmuş Badem İçi,79.99,1,
Atıştırmalık,Kuruyemiş,Master Nut Kavrulmuş Tuzlu İç Badem,119.99,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Kavrulmuş Badem,130.99,1,
Atıştırmalık,Kuruyemiş,List Nuts Tuzlu Kavrulmuş Badem,116.99,1,
Atıştırmalık,Kuruyemiş,Tadım Beyaz Leblebi,57.99,1,
Atıştırmalık,Kuruyemiş,Master Nut Benekli Leblebi,49.99,1,
Atıştırmalık,Kuruyemiş,Master Nut Beyaz Leblebi,49.99,1,
Atıştırmalık,Kuruyemiş,Master Crunch Barbekü & Soğan Leblebi,33.5,1,
Atıştırmalık,Kuruyemiş,List Nuts Kavrulmuş Beyaz Leblebi,57.5,1,
Atıştırmalık,Kuruyemiş,Tadım Kavrulmuş Tuzlu Yer Fıstığı,44.5,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Kavrulmuş Yer Fıstığı,58.5,1,
Atıştırmalık,Kuruyemiş,List Nuts Tuzlu Kavrulmuş Yer Fıstığı,46.99,1,
Atıştırmalık,Kuruyemiş,Tadım Kavrulmuş Kabuklu Yer Fıstığı,72.5,1,
Atıştırmalık,Kuruyemiş,List Nuts Tuzlu Mısır,38.99,1,
Atıştırmalık,Kuruyemiş,List Nuts Kavurga Mısır,44.5,1,
Atıştırmalık,Kuruyemiş,Tadım Taco Kaplamalı Yer Fıstığı,41.5,1,
